Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"060371013002","15000US060371013002","Block Group 2, Census Tract 1013, Los Angeles County, California","Block Group 2, Census Tract 1013, Los Angeles County, California","CA","150","00","ACSSF","0027194",,,,,"06","037",,,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79981
"060371013003","15000US060371013003","Block Group 3, Census Tract 1013, Los Angeles County, California","Block Group 3, Census Tract 1013, Los Angeles County, California","CA","150","00","ACSSF","0027195",,,,,"06","037",,,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65394
"060371013004","15000US060371013004","Block Group 4, Census Tract 1013, Los Angeles County, California","Block Group 4, Census Tract 1013, Los Angeles County, California","CA","150","00","ACSSF","0027196",,,,,"06","037",,,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103444
"060371014001","15000US060371014001","Block Group 1, Census Tract 1014, Los Angeles County, California","Block Group 1, Census Tract 1014, Los Angeles County, California","CA","150","00","ACSSF","0027197",,,,,"06","037",,,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79981
"060371014002","15000US060371014002","Block Group 2, Census Tract 1014, Los Angeles County, California","Block Group 2, Census Tract 1014, Los Angeles County, California","CA","150","00","ACSSF","0027198",,,,,"06","037",,,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77868
"060371014003","15000US060371014003","Block Group 3, Census Tract 1014, Los Angeles County, California","Block Group 3, Census Tract 1014, Los Angeles County, California","CA","150","00","ACSSF","0027199",,,,,"06","037",,,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85075
"060371021031","15000US060371021031","Block Group 1, Census Tract 1021.03, Los Angeles County, California","Block Group 1, Census Tract 1021.03, Los Angeles County, California","CA","150","00","ACSSF","0027200",,,,,"06","037",,,,"102103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83119
"060371021041","15000US060371021041","Block Group 1, Census Tract 1021.04, Los Angeles County, California","Block Group 1, Census Tract 1021.04, Los Angeles County, California","CA","150","00","ACSSF","0027201",,,,,"06","037",,,,"102104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138341
"060371021042","15000US060371021042","Block Group 2, Census Tract 1021.04, Los Angeles County, California","Block Group 2, Census Tract 1021.04, Los Angeles County, California","CA","150","00","ACSSF","0027202",,,,,"06","037",,,,"102104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72285
"060371021051","15000US060371021051","Block Group 1, Census Tract 1021.05, Los Angeles County, California","Block Group 1, Census Tract 1021.05, Los Angeles County, California","CA","150","00","ACSSF","0027203",,,,,"06","037",,,,"102105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63589
"060371021052","15000US060371021052","Block Group 2, Census Tract 1021.05, Los Angeles County, California","Block Group 2, Census Tract 1021.05, Los Angeles County, California","CA","150","00","ACSSF","0027204",,,,,"06","037",,,,"102105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52818
"060371021071","15000US060371021071","Block Group 1, Census Tract 1021.07, Los Angeles County, California","Block Group 1, Census Tract 1021.07, Los Angeles County, California","CA","150","00","ACSSF","0027205",,,,,"06","037",,,,"102107","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62558
"060371021072","15000US060371021072","Block Group 2, Census Tract 1021.07, Los Angeles County, California","Block Group 2, Census Tract 1021.07, Los Angeles County, California","CA","150","00","ACSSF","0027206",,,,,"06","037",,,,"102107","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89995
