Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010
"06037189201","Census Tract 1892.01, Los Angeles County, California","ACSSF","ca","140","00","0004639",,,,,"06","037",,,"189201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189201","Census Tract 1892.01",,,,3020,3020,2219,82,20,163,0,337,199,1748,1318,38,0,154,0,89,149,295,1203,1592,1222,38,0,139,0,44,149,1107,250
"06037189202","Census Tract 1892.02, Los Angeles County, California","ACSSF","ca","140","00","0004640",,,,,"06","037",,,"189202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189202","Census Tract 1892.02",,,,2829,2829,1992,75,7,308,0,63,384,1289,1001,45,6,137,0,26,74,157,947,767,623,35,0,53,0,7,49,580,96
"06037189300","Census Tract 1893, Los Angeles County, California","ACSSF","ca","140","00","0004641",,,,,"06","037",,,"189300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189300","Census Tract 1893",,,,2805,2805,2262,66,23,285,0,87,82,1353,1171,33,5,108,0,36,0,8,1171,68,68,0,0,0,0,0,0,68,0
"06037189400","Census Tract 1894, Los Angeles County, California","ACSSF","ca","140","00","0004642",,,,,"06","037",,,"189400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189400","Census Tract 1894",,,,3135,3135,2278,306,0,154,0,0,397,1548,1177,120,0,91,0,0,160,108,1131,710,570,15,0,42,0,0,83,541,71
"06037189501","Census Tract 1895.01, Los Angeles County, California","ACSSF","ca","140","00","0004643",,,,,"06","037",,,"189501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189501","Census Tract 1895.01",,,,2293,2293,1901,188,0,92,0,105,7,1474,1203,188,0,37,0,39,7,103,1139,1179,930,188,0,15,0,39,7,881,88
"06037189502","Census Tract 1895.02, Los Angeles County, California","ACSSF","ca","140","00","0004644",,,,,"06","037",,,"189502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189502","Census Tract 1895.02",,,,1948,1948,1352,97,0,194,8,140,157,1311,957,76,0,101,0,89,88,296,740,1177,882,76,0,67,0,89,63,665,271
"06037189600","Census Tract 1896, Los Angeles County, California","ACSSF","ca","140","00","0004645",,,,,"06","037",,,"189600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189600","Census Tract 1896",,,,3752,3752,2780,81,49,273,0,215,354,1988,1558,0,32,102,0,134,162,337,1465,1286,959,0,32,0,0,133,162,887,250
"06037189702","Census Tract 1897.02, Los Angeles County, California","ACSSF","ca","140","00","0004646",,,,,"06","037",,,"189702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189702","Census Tract 1897.02",,,,2121,2121,1692,137,0,42,0,50,200,1268,1000,88,0,34,0,32,114,109,982,737,500,88,0,34,0,32,83,482,109
"06037189703","Census Tract 1897.03, Los Angeles County, California","ACSSF","ca","140","00","0004647",,,,,"06","037",,,"189703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189703","Census Tract 1897.03",,,,1824,1824,1183,296,0,238,0,57,50,998,763,104,0,63,0,36,32,127,704,395,235,84,0,8,0,36,32,193,110
"06037189704","Census Tract 1897.04, Los Angeles County, California","ACSSF","ca","140","00","0004648",,,,,"06","037",,,"189704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189704","Census Tract 1897.04",,,,1257,1257,987,24,0,120,0,29,97,686,576,24,0,67,0,11,8,83,519,295,212,24,0,48,0,11,0,179,59
