Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10063B_001,SE_A10063B_002,SE_A10063B_003,SE_A10063B_004,SE_A10063B_005,SE_A10063B_006,SE_A10063B_007,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A18001_001,SE_A18001_002,SE_A18001_003,SE_A18001_004,SE_A18001_005,SE_A18001_006,SE_A18001_007,SE_A18001_008,SE_A18001_009,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_A18009_001,SE_A18003_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A18007_001,SE_A18007_002,SE_A18007_003,SE_A18007_004,SE_A18007_005,SE_A18007_006,SE_A18007_007
60375316031,"Block Group 1, Census Tract 5316.03, Los Angeles County, California","Block Group 1, Census Tract 5316.03, Los Angeles County, California",CA,150,0,ACSSF,31353,,,,,6,37,,,,531603,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375316031,,,182352,0,1212,1212,17214.32,0.070406504,,,,,,,,157,70,30,29,4,0,24,127,0,0,14,59,36,0,9,9,157,0,24,60,29,44,977,34.59999847,157,0,0,14,59,36,9,9,30,,,,,,,,,,,,,,,,,,,,,,,,280,12,268,,,,,,,
60375316032,"Block Group 2, Census Tract 5316.03, Los Angeles County, California","Block Group 2, Census Tract 5316.03, Los Angeles County, California",CA,150,0,ACSSF,31354,,,,,6,37,,,,531603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375316032,,,251703,0,2405,2405,24747.11,0.097183076,,,,,,,,340,195,59,40,46,0,0,340,0,31,58,41,46,83,81,0,340,0,175,113,44,8,1217,29.29999924,340,0,23,66,41,129,81,0,0,,,,,,,,,,,,,,,,,,,,,,,,555,14,541,,,,,,,
60375316041,"Block Group 1, Census Tract 5316.04, Los Angeles County, California","Block Group 1, Census Tract 5316.04, Los Angeles County, California",CA,150,0,ACSSF,31355,,,,,6,37,,,,531604,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375316041,,,183140,0,1860,1860,26304.34,0.070710752,,,,,,,,362,140,71,96,24,31,0,349,0,45,65,123,68,38,10,0,362,22,170,46,111,13,862,28.60000038,362,0,0,110,123,106,10,0,13,,,,,,,,,,,,,,,,,,,,,,,,493,43,450,,,,,,,
60375316042,"Block Group 2, Census Tract 5316.04, Los Angeles County, California","Block Group 2, Census Tract 5316.04, Los Angeles County, California",CA,150,0,ACSSF,31356,,,,,6,37,,,,531604,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375316042,,,183620,0,1695,1695,23908.23,0.070896081,,,,,,,,352,130,72,113,28,9,0,346,32,9,115,106,49,17,18,0,352,0,43,188,115,6,850,41.5,352,32,9,115,106,66,18,0,6,,,,,,,,,,,,,,,,,,,,,,,,395,64,331,,,,,,,
60375317011,"Block Group 1, Census Tract 5317.01, Los Angeles County, California","Block Group 1, Census Tract 5317.01, Los Angeles County, California",CA,150,0,ACSSF,31357,,,,,6,37,,,,531701,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317011,,,322295,0,3350,3350,26920.86,0.1244388,,,,,,,,367,151,72,55,64,25,0,355,0,9,47,111,61,50,71,6,367,0,160,63,132,12,1043,34.59999847,367,0,9,47,111,111,71,6,12,,,,,,,,,,,,,,,,,,,,,,,,777,52,725,,,,,,,
60375317012,"Block Group 2, Census Tract 5317.01, Los Angeles County, California","Block Group 2, Census Tract 5317.01, Los Angeles County, California",CA,150,0,ACSSF,31358,,,,,6,37,,,,531701,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317012,,,314826,0,2371,2371,19505.57,0.121555003,,,,,,,,346,254,29,54,0,0,9,346,14,11,26,126,86,36,37,10,346,0,137,42,167,0,994,36.70000076,346,14,11,26,126,122,37,10,0,,,,,,,,,,,,,,,,,,,,,,,,598,59,539,,,,,,,
60375317021,"Block Group 1, Census Tract 5317.02, Los Angeles County, California","Block Group 1, Census Tract 5317.02, Los Angeles County, California",CA,150,0,ACSSF,31359,,,,,6,37,,,,531702,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317021,,,138946,0,750,750,13980.19,0.053647353,,,,,,,,108,62,12,24,10,0,0,98,12,0,0,0,0,12,74,0,108,12,7,79,0,10,1669,34.5,108,12,0,0,0,12,74,0,10,,,,,,,,,,,,,,,,,,,,,,,,155,0,155,,,,,,,
60375317022,"Block Group 2, Census Tract 5317.02, Los Angeles County, California","Block Group 2, Census Tract 5317.02, Los Angeles County, California",CA,150,0,ACSSF,31360,,,,,6,37,,,,531702,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317022,,,136061,0,852,852,16218.24,0.052533448,,,,,,,,179,76,51,29,15,8,0,151,0,78,0,14,59,0,0,0,179,0,54,97,0,28,534,33.59999847,179,0,70,8,14,59,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,218,20,198,,,,,,,
60375317023,"Block Group 3, Census Tract 5317.02, Los Angeles County, California","Block Group 3, Census Tract 5317.02, Los Angeles County, California",CA,150,0,ACSSF,31361,,,,,6,37,,,,531702,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317023,,,214155,0,1398,1398,16907.39,0.082685711,,,,,,,,277,64,111,34,68,0,0,277,0,40,81,102,41,13,0,0,277,0,121,89,43,24,821,30.70000076,277,0,0,121,102,54,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,418,0,418,,,,,,,
60375317024,"Block Group 4, Census Tract 5317.02, Los Angeles County, California","Block Group 4, Census Tract 5317.02, Los Angeles County, California",CA,150,0,ACSSF,31362,,,,,6,37,,,,531702,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US060375317024,,,183001,0,1345,1345,19035.6,0.070657084,,,,,,,,314,196,22,52,27,6,11,301,0,18,83,51,122,27,0,0,314,0,168,47,86,13,993,28.79999924,314,0,12,89,51,149,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,413,32,381,,,,,,,
