Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060375545131","Block Group 1, Census Tract 5545.13, Los Angeles County, California","ACSSF","ca","150","00","0020924",,,,,"06","037",,,"554513","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545131","Block Group 1",,,,815,649,166
"060375545141","Block Group 1, Census Tract 5545.14, Los Angeles County, California","ACSSF","ca","150","00","0020925",,,,,"06","037",,,"554514","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545141","Block Group 1",,,,522,341,181
"060375545142","Block Group 2, Census Tract 5545.14, Los Angeles County, California","ACSSF","ca","150","00","0020926",,,,,"06","037",,,"554514","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545142","Block Group 2",,,,393,308,85
"060375545143","Block Group 3, Census Tract 5545.14, Los Angeles County, California","ACSSF","ca","150","00","0020927",,,,,"06","037",,,"554514","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545143","Block Group 3",,,,672,382,290
"060375545151","Block Group 1, Census Tract 5545.15, Los Angeles County, California","ACSSF","ca","150","00","0020928",,,,,"06","037",,,"554515","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545151","Block Group 1",,,,374,299,75
"060375545152","Block Group 2, Census Tract 5545.15, Los Angeles County, California","ACSSF","ca","150","00","0020929",,,,,"06","037",,,"554515","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545152","Block Group 2",,,,753,644,109
"060375545161","Block Group 1, Census Tract 5545.16, Los Angeles County, California","ACSSF","ca","150","00","0020930",,,,,"06","037",,,"554516","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545161","Block Group 1",,,,651,580,71
"060375545162","Block Group 2, Census Tract 5545.16, Los Angeles County, California","ACSSF","ca","150","00","0020931",,,,,"06","037",,,"554516","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545162","Block Group 2",,,,557,496,61
"060375545171","Block Group 1, Census Tract 5545.17, Los Angeles County, California","ACSSF","ca","150","00","0020932",,,,,"06","037",,,"554517","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545171","Block Group 1",,,,822,628,194
"060375545172","Block Group 2, Census Tract 5545.17, Los Angeles County, California","ACSSF","ca","150","00","0020933",,,,,"06","037",,,"554517","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545172","Block Group 2",,,,564,266,298
"060375545181","Block Group 1, Census Tract 5545.18, Los Angeles County, California","ACSSF","ca","150","00","0020934",,,,,"06","037",,,"554518","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545181","Block Group 1",,,,348,317,31
"060375545182","Block Group 2, Census Tract 5545.18, Los Angeles County, California","ACSSF","ca","150","00","0020935",,,,,"06","037",,,"554518","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545182","Block Group 2",,,,707,584,123
"060375545183","Block Group 3, Census Tract 5545.18, Los Angeles County, California","ACSSF","ca","150","00","0020936",,,,,"06","037",,,"554518","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545183","Block Group 3",,,,518,453,65
"060375545191","Block Group 1, Census Tract 5545.19, Los Angeles County, California","ACSSF","ca","150","00","0020937",,,,,"06","037",,,"554519","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545191","Block Group 1",,,,474,432,42
"060375545192","Block Group 2, Census Tract 5545.19, Los Angeles County, California","ACSSF","ca","150","00","0020938",,,,,"06","037",,,"554519","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545192","Block Group 2",,,,743,653,90
"060375545211","Block Group 1, Census Tract 5545.21, Los Angeles County, California","ACSSF","ca","150","00","0020939",,,,,"06","037",,,"554521","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545211","Block Group 1",,,,686,562,124
"060375545212","Block Group 2, Census Tract 5545.21, Los Angeles County, California","ACSSF","ca","150","00","0020940",,,,,"06","037",,,"554521","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545212","Block Group 2",,,,629,336,293
"060375545213","Block Group 3, Census Tract 5545.21, Los Angeles County, California","ACSSF","ca","150","00","0020941",,,,,"06","037",,,"554521","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545213","Block Group 3",,,,587,405,182
"060375545221","Block Group 1, Census Tract 5545.22, Los Angeles County, California","ACSSF","ca","150","00","0020942",,,,,"06","037",,,"554522","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545221","Block Group 1",,,,257,234,23
"060375545222","Block Group 2, Census Tract 5545.22, Los Angeles County, California","ACSSF","ca","150","00","0020943",,,,,"06","037",,,"554522","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545222","Block Group 2",,,,518,466,52
"060375545223","Block Group 3, Census Tract 5545.22, Los Angeles County, California","ACSSF","ca","150","00","0020944",,,,,"06","037",,,"554522","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545223","Block Group 3",,,,710,548,162
"060375546001","Block Group 1, Census Tract 5546, Los Angeles County, California","ACSSF","ca","150","00","0020945",,,,,"06","037",,,"554600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375546001","Block Group 1",,,,676,390,286
"060375546002","Block Group 2, Census Tract 5546, Los Angeles County, California","ACSSF","ca","150","00","0020946",,,,,"06","037",,,"554600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375546002","Block Group 2",,,,530,267,263
"060375547001","Block Group 1, Census Tract 5547, Los Angeles County, California","ACSSF","ca","150","00","0020947",,,,,"06","037",,,"554700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375547001","Block Group 1",,,,299,189,110
"060375547002","Block Group 2, Census Tract 5547, Los Angeles County, California","ACSSF","ca","150","00","0020948",,,,,"06","037",,,"554700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375547002","Block Group 2",,,,378,282,96
"060375547003","Block Group 3, Census Tract 5547, Los Angeles County, California","ACSSF","ca","150","00","0020949",,,,,"06","037",,,"554700","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375547003","Block Group 3",,,,259,198,61
"060375548011","Block Group 1, Census Tract 5548.01, Los Angeles County, California","ACSSF","ca","150","00","0020950",,,,,"06","037",,,"554801","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375548011","Block Group 1",,,,404,235,169
"060375548012","Block Group 2, Census Tract 5548.01, Los Angeles County, California","ACSSF","ca","150","00","0020951",,,,,"06","037",,,"554801","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375548012","Block Group 2",,,,326,264,62
"060375548021","Block Group 1, Census Tract 5548.02, Los Angeles County, California","ACSSF","ca","150","00","0020952",,,,,"06","037",,,"554802","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375548021","Block Group 1",,,,678,331,347
"060375548022","Block Group 2, Census Tract 5548.02, Los Angeles County, California","ACSSF","ca","150","00","0020953",,,,,"06","037",,,"554802","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375548022","Block Group 2",,,,611,347,264
"060375548023","Block Group 3, Census Tract 5548.02, Los Angeles County, California","ACSSF","ca","150","00","0020954",,,,,"06","037",,,"554802","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375548023","Block Group 3",,,,402,289,113
"060375549001","Block Group 1, Census Tract 5549, Los Angeles County, California","ACSSF","ca","150","00","0020955",,,,,"06","037",,,"554900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375549001","Block Group 1",,,,382,232,150
"060375549002","Block Group 2, Census Tract 5549, Los Angeles County, California","ACSSF","ca","150","00","0020956",,,,,"06","037",,,"554900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375549002","Block Group 2",,,,329,257,72
"060375549003","Block Group 3, Census Tract 5549, Los Angeles County, California","ACSSF","ca","150","00","0020957",,,,,"06","037",,,"554900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375549003","Block Group 3",,,,281,52,229
"060375549004","Block Group 4, Census Tract 5549, Los Angeles County, California","ACSSF","ca","150","00","0020958",,,,,"06","037",,,"554900","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375549004","Block Group 4",,,,768,289,479
"060375549005","Block Group 5, Census Tract 5549, Los Angeles County, California","ACSSF","ca","150","00","0020959",,,,,"06","037",,,"554900","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375549005","Block Group 5",,,,236,59,177
"060375550011","Block Group 1, Census Tract 5550.01, Los Angeles County, California","ACSSF","ca","150","00","0020960",,,,,"06","037",,,"555001","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550011","Block Group 1",,,,380,275,105
"060375550012","Block Group 2, Census Tract 5550.01, Los Angeles County, California","ACSSF","ca","150","00","0020961",,,,,"06","037",,,"555001","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550012","Block Group 2",,,,467,366,101
"060375550013","Block Group 3, Census Tract 5550.01, Los Angeles County, California","ACSSF","ca","150","00","0020962",,,,,"06","037",,,"555001","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550013","Block Group 3",,,,544,147,397
"060375550014","Block Group 4, Census Tract 5550.01, Los Angeles County, California","ACSSF","ca","150","00","0020963",,,,,"06","037",,,"555001","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550014","Block Group 4",,,,235,233,2
"060375550021","Block Group 1, Census Tract 5550.02, Los Angeles County, California","ACSSF","ca","150","00","0020964",,,,,"06","037",,,"555002","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550021","Block Group 1",,,,490,177,313
"060375550022","Block Group 2, Census Tract 5550.02, Los Angeles County, California","ACSSF","ca","150","00","0020965",,,,,"06","037",,,"555002","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375550022","Block Group 2",,,,768,345,423
"060375551051","Block Group 1, Census Tract 5551.05, Los Angeles County, California","ACSSF","ca","150","00","0020966",,,,,"06","037",,,"555105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551051","Block Group 1",,,,607,183,424
"060375551052","Block Group 2, Census Tract 5551.05, Los Angeles County, California","ACSSF","ca","150","00","0020967",,,,,"06","037",,,"555105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551052","Block Group 2",,,,544,397,147
"060375551053","Block Group 3, Census Tract 5551.05, Los Angeles County, California","ACSSF","ca","150","00","0020968",,,,,"06","037",,,"555105","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551053","Block Group 3",,,,333,222,111
"060375551054","Block Group 4, Census Tract 5551.05, Los Angeles County, California","ACSSF","ca","150","00","0020969",,,,,"06","037",,,"555105","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551054","Block Group 4",,,,323,12,311
"060375551061","Block Group 1, Census Tract 5551.06, Los Angeles County, California","ACSSF","ca","150","00","0020970",,,,,"06","037",,,"555106","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551061","Block Group 1",,,,391,235,156
"060375551062","Block Group 2, Census Tract 5551.06, Los Angeles County, California","ACSSF","ca","150","00","0020971",,,,,"06","037",,,"555106","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375551062","Block Group 2",,,,547,170,377
