,APN,TOC
350,5406028028,Tier 3
351,5408032009,Tier 4
352,5409016031,Tier 4
353,5406022037,Tier 2
354,5409004007,Tier 3
355,5409019901,Tier 3
356,5406029002,Tier 3
357,5408030034,Tier 4
358,5408019027,Tier 3
359,5406024061,Tier 2
360,5409008001,Tier 4
361,5406024046,Tier 2
362,5408032013,Tier 4
363,5406028029,Tier 3
364,5406027002,Tier 2
365,5407023024,Tier 3
366,5406028030,Tier 3
367,5414003012,Tier 3
368,5407004006,Tier 3
369,5406028147,Tier 3
370,5407017029,Tier 3
371,5407020015,Tier 3
372,5409006024,Tier 3
373,5414005062,Tier 4
374,5406028136,Tier 3
375,5407017014,Tier 3
376,5408031008,Tier 4
377,5409016006,Tier 4
378,5414005063,Tier 4
379,5406024030,Tier 3
380,5408019023,Tier 3
381,5406022051,Tier 2
382,5409016029,Tier 4
383,5414003014,Tier 3
384,5408032001,Tier 4
385,5408020009,Tier 3
386,5414008015,Tier 4
387,5409017905,Tier 4
388,5414004900,Tier 4
389,5406027005,Tier 3
390,5406028084,Tier 3
391,5406028053,Tier 3
392,5407016012,Tier 3
393,5406026022,Tier 2
394,5406025042,Tier 2
395,5407005005,Tier 3
396,5406022106,Tier 2
397,5409016012,Tier 4
398,5408019029,Tier 3
399,5406028118,Tier 3
400,5408019024,Tier 3
401,5409006057,Tier 3
402,5407023025,Tier 3
403,5406028149,Tier 3
404,5407022018,Tier 3
405,5409020906,Tier 3
406,5407007018,Tier 3
407,5407017027,Tier 3
408,5406028126,Tier 3
409,5414006022,Tier 4
410,5406027018,Tier 3
411,5407024019,Tier 3
412,5406025019,Tier 2
413,5408032014,Tier 4
414,5407012004,Tier 3
415,5407013006,Tier 3
416,5406028077,Tier 3
417,5406028072,Tier 3
418,5409006055,Tier 3
419,5407005014,Tier 3
420,5407001908,Tier 3
421,5406022100,Tier 2
422,5414008002,Tier 4
423,5414011026,Tier 4
424,5409013912,Tier 3
425,5406028140,Tier 3
426,5406030904,Tier 3
427,5409015914,Tier 4
428,5414005060,Tier 4
429,5414005057,Tier 4
430,5409015921,Tier 3
431,5409014904,Tier 3
432,5414005044,Tier 4
433,5407005010,Tier 3
434,5414012010,Tier 4
435,5408025001,Tier 3
436,5406024062,Tier 2
437,5414008009,Tier 4
438,5407023008,Tier 3
439,5409009007,Tier 4
440,5414003011,Tier 3
441,5406022046,Tier 2
442,5409006021,Tier 3
443,5407012006,Tier 3
444,5409008005,Tier 4
445,5407022010,Tier 3
446,5406028012,Tier 3
447,5406028110,Tier 3
448,5406027024,Tier 2
449,5407014024,Tier 3
450,5414005065,Tier 4
451,5407010017,Tier 3
452,5406028066,Tier 3
453,5406030018,Tier 3
454,5406024063,Tier 2
455,5409012906,Tier 3
456,5406022097,Tier 2
457,5409016007,Tier 4
458,5407007010,Tier 3
459,5408019017,Tier 3
460,5414005052,Tier 4
461,5406022027,Tier 2
462,5409015026,Tier 3
463,5406028040,Tier 3
464,5407017038,Tier 3
465,5407023013,Tier 3
466,5407008009,Tier 3
467,5407017054,Tier 3
468,5406028105,Tier 3
469,5409019903,Tier 3
470,5407006018,Tier 3
471,5406026011,Tier 2
472,5409012807,Tier 3
473,5414011008,Tier 4
474,5406028007,Tier 3
475,5407017051,Tier 3
476,5409016021,Tier 4
477,5407010003,Tier 3
478,5409018919,Tier 4
479,5406025022,Tier 2
480,5407004019,Tier 3
481,5414005014,Tier 4
482,5407017033,Tier 3
483,5406028076,Tier 3
484,5408030002,Tier 4
485,5408019034,Tier 3
486,5406028063,Tier 3
487,5414012006,Tier 4
488,5407006023,Tier 3
489,5409014906,Tier 3
490,5407022019,Tier 3
491,5408030017,Tier 4
492,5408027902,Tier 3
493,5407006014,Tier 3
494,5407007012,Tier 3
495,5414001009,Tier 3
496,5406028081,Tier 3
497,5408019040,Tier 3
498,5407017028,Tier 3
499,5406024054,Tier 2
500,5406028112,Tier 3
501,5407013002,Tier 3
502,5409006028,Tier 3
503,5408030031,Tier 4
504,5408029001,Tier 4
505,5414008013,Tier 4
506,5407018003,Tier 3
507,5407005006,Tier 3
508,5406024035,Tier 3
509,5408016009,Tier 3
510,5406026010,Tier 2
511,5408018028,Tier 3
512,5408027006,Tier 4
513,5409013913,Tier 3
514,5406026009,Tier 2
515,5407009016,Tier 3
516,5414005058,Tier 4
517,5407019007,Tier 3
518,5407020019,Tier 3
519,5407025008,Tier 3
520,5408019019,Tier 3
521,5406028090,Tier 3
522,5408023006,Tier 3
523,5409006058,Tier 3
524,5408033904,Tier 4
525,5406022129,Tier 2
526,5406022113,Tier 2
527,5408019007,Tier 3
528,5406028123,Tier 3
529,5407005009,Tier 3
530,5406022047,Tier 2
531,5408031015,Tier 4
532,5408022002,Tier 3
533,5414005018,Tier 4
534,5414005015,Tier 4
535,5406029010,Tier 3
536,5406028036,Tier 3
537,5406028088,Tier 3
538,5409020911,Tier 3
539,5406022066,Tier 2
540,5414001004,Tier 3
541,5406030035,Tier 3
542,5414005035,Tier 4
543,5407017031,Tier 3
544,5407005004,Tier 3
545,5406024036,Tier 3
546,5409019907,Tier 3
547,5407007013,Tier 3
548,5409006054,Tier 3
549,5407025018,Tier 3
550,5409011900,Tier 3
551,5414007028,Tier 4
552,5407004005,Tier 3
553,5408019041,Tier 3
554,5406025008,Tier 2
555,5409006017,Tier 3
556,5407011004,Tier 3
557,5408019053,Tier 3
558,5408033003,Tier 4
559,5415018901,Tier 2
560,5409012907,Tier 1
561,5414006019,Tier 4
562,5406026015,Tier 2
563,5408023005,Tier 3
564,5409008006,Tier 4
565,5406026017,Tier 2
566,5407010006,Tier 3
567,5409006009,Tier 3
568,5408030025,Tier 4
569,5406024042,Tier 2
570,5407017004,Tier 3
571,5409007003,Tier 4
572,5408014015,Tier 4
573,5407005022,Tier 3
574,5406026016,Tier 2
575,5407012003,Tier 3
576,5406024053,Tier 2
577,5414005053,Tier 4
578,5407016013,Tier 3
579,5406028145,Tier 3
580,5406022125,Tier 2
581,5407023011,Tier 3
582,5406023001,Tier 3
583,5406028027,Tier 3
584,5406025058,Tier 2
585,5407023015,Tier 3
586,5407007047,Tier 3
587,5407022026,Tier 3
588,5414011023,Tier 4
589,5406025006,Tier 2
590,5406022074,Tier 2
591,5407024016,Tier 3
592,5414009003,Tier 4
593,5406025047,Tier 2
594,5408030028,Tier 4
595,5406025048,Tier 2
596,5406024025,Tier 3
597,5414005006,Tier 4
598,5406028099,Tier 3
599,5406027019,Tier 3
600,5409018918,Tier 4
601,5408032011,Tier 4
602,5409006051,Tier 3
603,5408019042,Tier 3
604,5407012001,Tier 3
605,5408033005,Tier 4
606,5406028151,Tier 3
607,5407007022,Tier 3
608,5408031009,Tier 4
609,5409018916,Tier 3
610,5407017035,Tier 3
611,5407011011,Tier 3
612,5406026003,Tier 2
613,5407010005,Tier 3
614,5407011009,Tier 3
615,5407023018,Tier 3
616,5406028068,Tier 3
617,5409005035,Tier 3
618,5406022127,Tier 2
619,5410002900,Tier 3
620,5406028074,Tier 3
621,5408016013,Tier 3
622,5414008012,Tier 4
623,5406024060,Tier 2
624,5407017015,Tier 3
625,5408014018,Tier 3
626,5407011012,Tier 3
627,5406022105,Tier 2
628,5408019026,Tier 3
629,5407018022,Tier 3
630,5406024064,Tier 2
631,5406022041,Tier 2
632,5408024013,Tier 3
633,5406028010,Tier 3
634,5408032012,Tier 4
635,5407012009,Tier 3
636,5414011016,Tier 4
637,5408021015,Tier 3
638,5406028022,Tier 3
639,5409006059,Tier 3
640,5414005004,Tier 4
641,5409019904,Tier 3
642,5406025046,Tier 2
643,5407017055,Tier 3
644,5408030008,Tier 4
645,5406028048,Tier 3
646,5414011030,Tier 4
647,5408032006,Tier 4
648,5407017005,Tier 3
649,5409005023,Tier 3
650,5406025057,Tier 2
651,5406028038,Tier 3
652,5406024034,Tier 3
653,5408022004,Tier 3
654,5409008004,Tier 4
655,5406022107,Tier 2
656,5414005045,Tier 4
657,5414009002,Tier 4
658,5406025004,Tier 2
659,5406022085,Tier 2
660,5409016004,Tier 4
661,5409020904,Tier 3
662,5414011009,Tier 4
663,5414005041,Tier 4
664,5406024055,Tier 2
665,5408030021,Tier 4
666,5414005069,Tier 4
667,5408024006,Tier 3
668,5407009020,Tier 3
669,5406030030,Tier 3
670,5407004011,Tier 3
671,5407014023,Tier 3
672,5408013030,Tier 4
673,5407007037,Tier 3
