APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit
2237020011,1/22/10,2010,6,14206 W GILMORE ST,VAN NUYS ,91401,2,5
2237021014,5/11/21,2021,2,14207 W GILMORE ST,VAN NUYS ,91401,2,
2238002013,6/29/18,2018,2,6632 N HAZELTINE AVE,VAN NUYS ,91405,2,4
2238006022,2/19/20,2020,2,13940  VANOWEN ST,VAN NUYS ,91405,3,
2238006032,3/14/16,2016,2,6736 N HAZELTINE AVE,VAN NUYS ,91405,1,
2239006030,4/20/16,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401,5,
2240012012,5/17/16,2016,6,6361 N TYRONE AVE,VAN NUYS ,91401,4,0
2240012013,5/17/16,2016,6,14307 W FRIAR ST,VAN NUYS ,91401,2,0
2240012014,6/27/17,2017,6,14311 W FRIAR ST,VAN NUYS ,91401,2,30
2240013006,1/16/19,2019,6,14226 W VICTORY BLVD,VAN NUYS ,91401,4,
2240014025,8/1/22,2022,6,14161 W FRIAR ST,VAN NUYS ,91401,1,
2240019014,6/5/19,2019,6,6211 N HAZELTINE AVE,LOS ANGELES ,91401,4,
2240020001,6/5/17,2017,6,6220 N TYRONE AVE,VAN NUYS ,91401,2,
2240020002,6/19/18,2018,6,14252 W ERWIN ST,VAN NUYS ,91401,2,
2240020022,1/28/15,2015,6,14247 W DELANO ST,VAN NUYS ,91401,2,
2240021006,12/6/19,2019,6,14228 W DELANO ST,VAN NUYS ,91401,2,
2241002015,1/7/20,2020,6,14757 W FRIAR ST,VAN NUYS ,91411,3,5
2241003014,5/8/19,2019,6,14631 W FRIAR ST,VAN NUYS ,91411,2,
2241009019,8/26/21,2021,6,14831 W ERWIN ST,VAN NUYS ,91411,2,
2241009022,6/27/22,2022,6,14811 W ERWIN ST,VAN NUYS ,91411,3,
2241010009,7/2/14,2014,6,14748 W SYLVAN ST,VAN NUYS ,91411,2,5
2241011020,8/23/18,2018,6,14631 W ERWIN ST,VAN NUYS ,91411,3,
2241016011,8/11/08,2008,6,14848 W ERWIN ST,VAN NUYS ,91411,2,
2241017002,4/22/15,2015,6,14800 W DELANO ST,VAN NUYS ,91411,2,5
2241017004,1/31/18,2018,6,14810 W DELANO ST,VAN NUYS ,91411,3,
2241017006,6/22/18,2018,6,14822 W DELANO ST,VAN NUYS ,91411,3,
2241017008,5/29/14,2014,6,14832 W DELANO ST,VAN NUYS ,91411,2,5
2241022005,1/13/17,2017,6,14618 W CALVERT ST,VAN NUYS ,91411,3,19
2242023010,3/16/16,2016,6,14931 W DELANO ST,VAN NUYS ,91411,3,
2243004007,8/25/14,2014,4,5720 N SEPULVEDA BLVD,VAN NUYS ,91411,6,0
2243004008,8/25/14,2014,4,5714 N SEPULVEDA BLVD,VAN NUYS ,91411,14,0
2243004009,8/25/14,2014,4,5703 N HALBRENT AVE,VAN NUYS ,91411,12,0
2243004010,8/25/14,2014,4,5700 N SEPULVEDA BLVD,VAN NUYS ,91411,17,131
2244006002,8/15/17,2017,4,5946 N CEDROS AVE,VAN NUYS ,91411,3,
2244012003,11/2/22,2022,4,5846 N KESTER AVE,VAN NUYS ,91411,2,
2244012011,6/15/22,2022,4,5808 N KESTER AVE,VAN NUYS ,91411,2,
2244013003,12/4/19,2019,4,5750 N KESTER AVE,VAN NUYS ,91411,2,
2244018001,6/7/16,2016,4,14747 W BURBANK BLVD,VAN NUYS ,91411,8,
2244018018,6/7/16,2016,4,14731 W BURBANK BLVD,VAN NUYS ,91411,3,
2244018019,6/7/16,2016,4,14735 W BURBANK BLVD,VAN NUYS ,91411,3,
2245027036,2/17/16,2016,4,14143 W BURBANK BLVD,VAN NUYS ,91401,2,10
2245027037,11/6/15,2015,4,14147 W BURBANK BLVD,VAN NUYS ,91401,2,0
2246005003,6/29/22,2022,2,13836 W OXNARD ST,VAN NUYS ,91401,2,
2246006001,6/25/19,2019,2,13822 W OXNARD ST,VAN NUYS ,91401,2,
2246011017,3/2/22,2022,2,13826 W CALIFA ST,VAN NUYS ,91401,2,
2248005019,6/26/18,2018,4,14425 W RIVERSIDE DR,LOS ANGELES ,91423,2,
2249001004,3/22/21,2021,4,14534 W BURBANK BLVD,VAN NUYS ,91411,3,
2249006005,3/1/21,2021,4,14540 W WEDDINGTON ST,VAN NUYS ,91411,2,
2249007007,5/11/12,2012,4,14625 W MAGNOLIA BLVD,SHERMAN OAKS ,91403,4,30
2250004006,12/16/13,2013,4,5324 N SEPULVEDA BLVD,VAN NUYS ,91411,3,7
2263002013,11/7/16,2016,4,15206 W MAGNOLIA BLVD,LOS ANGELES ,91403,4,10
2263002014,11/7/16,2016,4,15200 W MAGNOLIA BLVD,LOS ANGELES ,91403,3,0
2263005010,8/7/13,2013,4,14944 W MAGNOLIA BLVD,SHERMAN OAKS ,91403,3,18
2263005011,8/7/13,2013,4,14950 W MAGNOLIA BLVD,VAN NUYS ,91403,3,0
2263013015,7/11/22,2022,4,4925 N KESTER AVE,SHERMAN OAKS ,91403,3,
2263017003,11/19/15,2015,4,4966 N SEPULVEDA BLVD,SHERMAN OAKS ,91403,3,
2263017004,11/19/15,2015,4,4962 N SEPULVEDA BLVD,LOS ANGELES ,91403,5,
2263017005,11/19/15,2015,4,4956 N SEPULVEDA BLVD,SHERMAN OAKS ,91403,6,
2264003013,2/10/20,2020,4,4818 N SEPULVEDA BLVD,LOS ANGELES ,91403,2,
2264003016,11/6/19,2019,4,4812 N SEPULVEDA BLVD,LOS ANGELES ,91403,4,
2264003039,3/8/21,2021,4,4812 N SEPULVEDA BLVD,SHERMAN OAKS ,91403,2,
2264004012,11/14/12,2012,4,4742 1/2 N SEPULVEDA BLVD,SHERMAN OAKS ,91403,3,0
2264004013,11/14/12,2012,4,4746 N SEPULVEDA BLVD,SHERMAN OAKS ,91403,3,19
2264016077,9/22/16,2016,4,15012 W MOORPARK ST,SHERMAN OAKS ,91403,6,
2264020028,11/7/18,2018,4,4615 N KESTER AVE,LOS ANGELES ,91403,2,
2265004002,4/12/17,2017,4,14655 W MOORPARK ST,SHERMAN OAKS ,91403,3,
2265011002,7/25/07,2007,4,4438 N VISTA DEL MONTE AVE,Los Angeles ,91403,4,
2265022032,5/20/14,2014,4,4485 N HAZELTINE AVE,SHERMAN OAKS ,91423,5,5
2266003011,9/5/14,2014,4,14229 W DICKENS ST,SHERMAN OAKS ,91423,8,
2266003012,9/5/14,2014,4,14225 W DICKENS ST,SHERMAN OAKS ,91423,8,
2266006019,9/19/07,2007,4,14422 W DICKENS ST,SHERMAN OAKS ,91423,3,9
2266006080,9/19/07,2007,4,14426 W DICKENS ST,SHERMAN OAKS ,91423,2,0
2266019014,6/25/19,2019,4,4243 N MAMMOTH AVE,LOS ANGELES ,91423,3,4
2269018080,4/2/15,2015,4,14031 W RIVERSIDE DR,SHERMAN OAKS ,91423,2,5
2271005006,5/14/14,2014,4,4521 N MATILIJA AVE,SHERMAN OAKS ,91423,2,
2276010020,3/6/17,2017,4,15035 W GREENLEAF ST,SHERMAN OAKS ,91403,2,
2276025017,3/12/19,2019,4,15007 W VALLEY VISTA BLVD,LOS ANGELES ,91403,2,
2276041017,2/12/18,2018,4,4409 N SAUGUS AVE,SHERMAN OAKS ,91403,4,
2276042001,3/28/18,2018,4,15300 W SUTTON ST,LOS ANGELES ,91403,5,
2283023002,8/13/14,2014,4,4554 N SHERMAN OAKS AVE,Los Angeles ,91403,1,
2310021041,2/12/18,2018,6,11946 W STRATHERN ST,LOS ANGELES ,91605,2,
2314007017,2/19/20,2020,6,11063 W ARMINTA ST,SUN VALLEY ,91352,3,
2314008041,8/14/18,2018,6,11050 W ARMINTA ST,LOS ANGELES ,91352,18,110
2315025045,11/7/22,2022,2,7321 N VINELAND AVE,LOS ANGELES ,91352,3,
2316020005,5/1/19,2019,2,7327 N TUJUNGA AVE,LOS ANGELES ,91605,2,
2317001010,6/3/13,2013,6,12045 W KESWICK ST,Los Angeles ,91605,3,32
2317017002,1/29/18,2018,2,7401 N LANKERSHIM BLVD,NORTH HOLLYWOOD ,91605,3,108
2320018013,3/31/17,2017,2,6707 N KRAFT AVE,LOS ANGELES ,91606,2,
2321011012,11/5/18,2018,2,6905 N BEN AVE,LOS ANGELES ,91605,2,
2321014012,10/13/21,2021,2,6901 N HINDS AVE,LOS ANGELES ,91605,4,
2321015029,6/2/20,2020,2,11808 W HART ST,LOS ANGELES ,91605,1,
2321019901,12/8/14,2014,2,11759 W VANOWEN ST,LOS ANGELES ,91605,11,
2321020907,10/23/12,2012,2,6868 N HINDS AVE,Los Angeles ,91605,4,
2321020909,5/18/22,2022,2,6853 N MORELLA AVE,LOS ANGELES ,91605,3,
2321020910,5/11/22,2022,2,6859 N MORELLA AVE,NORTH HOLLYWOOD ,91605,5,
2322015030,4/27/22,2022,2,6722 N SIMPSON AVE,NORTH HOLLYWOOD ,91606,1,
2324029011,12/20/16,2016,2,12555 W VANOWEN ST,LOS ANGELES ,91605,4,13
2324029019,1/22/20,2020,2,6825 N WHITSETT AVE,LOS ANGELES ,91605,3,
2328003006,3/10/22,2022,2,13620 W LEADWELL ST,VAN NUYS ,91405,2,
2328003007,2/23/18,2018,2,13612 W LEADWELL ST,LOS ANGELES ,91405,2,4
2328033043,4/25/18,2018,2,7040 N WOODMAN AVE,LOS ANGELES ,91405,10,
2329002009,10/6/20,2020,2,6552 N WOODMAN AVE,LOS ANGELES ,91401,3,
2329002010,10/6/20,2020,2,6558 N WOODMAN AVE,LOS ANGELES ,91401,3,
2329026018,7/23/20,2020,2,6603 N FULTON AVE,LOS ANGELES ,91401,2,
2332021018,7/23/18,2018,2,12609 W OXNARD ST,LOS ANGELES ,91606,3,
2333010017,7/24/17,2017,2,6144 N WHITSETT AVE,LOS ANGELES ,91606,5,
2333011018,5/5/15,2015,2,6011 N RHODES AVE,LOS ANGELES ,91606,1,17
2334014054,7/20/16,2016,2,6047 N HAZELHURST PL,LOS ANGELES ,91606,2,
2335010018,12/2/21,2021,2,6421 N TROOST AVE,NORTH HOLLYWOOD ,91606,2,
2335025010,4/27/22,2022,2,6336 N BECK AVE,NORTH HOLLYWOOD ,91606,2,
2335032014,4/4/18,2018,2,11687 W ERWIN ST,NORTH HOLLYWOOD ,91606,4,
2335032015,4/4/18,2018,2,11683 W ERWIN ST,NORTH HOLLYWOOD ,91606,4,
2335032017,5/3/17,2017,2,11671 W ERWIN ST,LOS ANGELES ,91606,2,10
2336016001,12/17/15,2015,2,11324 W VICTORY BLVD,LOS ANGELES ,91606,2,
2336016003,12/17/15,2015,2,11312 W VICTORY BLVD,LOS ANGELES ,91606,4,
2336016004,5/2/17,2017,2,11306 W VICTORY BLVD,LOS ANGELES ,91606,5,
2337012003,5/11/22,2022,2,5912 N TUJUNGA AVE,LOS ANGELES ,91601,2,
2337014005,4/18/16,2016,2,5832 N TUJUNGA AVE,LOS ANGELES ,91601,2,6
2337017026,5/8/19,2019,2,11249 W HATTERAS ST,NORTH HOLLYWOOD ,91601,2,3
2337030004,4/10/19,2019,2,5747 N FULCHER AVE,LOS ANGELES ,91601,3,
2337030005,4/10/19,2019,2,5741 N FULCHER AVE,LOS ANGELES ,91601,3,4
2337030019,1/23/19,2019,2,5728 N FAIR AVE,NORTH HOLLYWOOD ,91601,2,10
2337031007,10/13/15,2015,2,11135 W BURBANK BLVD,NORTH HOLLYWOOD ,91601,4,70
2337031009,5/27/16,2016,2,5630 N FAIR AVE,NORTH HOLLYWOOD ,91601,2,
2337033017,3/20/19,2019,2,5749 N KLUMP AVE,LOS ANGELES ,91601,2,
2337034016,4/10/19,2019,2,5617 N KLUMP AVE,LOS ANGELES ,91601,2,
2337036007,2/19/16,2016,2,11343 W MIRANDA ST,LOS ANGELES ,91601,2,
2337037021,7/31/19,2019,2,11318 W MIRANDA ST,NORTH HOLLYWOOD ,91601,2,
2337037023,8/20/19,2019,2,11308 W MIRANDA ST,LOS ANGELES ,91601,3,
2338006014,12/14/22,2022,2,6142 N HAZELHURST PL,LOS ANGELES ,91606,2,
2338014024,10/30/17,2017,2,11437 W HATTERAS ST,LOS ANGELES ,91601,2,5
2338014025,6/8/21,2021,2,11441  HATTERAS ST,LOS ANGELES ,91601,2,
2338023005,11/17/15,2015,2,11482 W HATTERAS ST,LOS ANGELES ,91601,6,
2338024019,8/3/18,2018,2,5749 N TUJUNGA AVE,LOS ANGELES ,91601,1,
2338027016,12/27/21,2021,2,5650 N FARMDALE AVE,LOS ANGELES ,91601,2,
2338028003,5/14/21,2021,2,5633 N FARMDALE AVE,NORTH HOLLYWOOD ,91601,6,
2338028004,5/5/15,2015,2,5643 N FARMDALE AVE,NORTH HOLLYWOOD ,91601,10,44
2338028005,5/5/15,2015,2,5649 N FARMDALE AVE,NORTH HOLLYWOOD ,91601,4,
2338028007,3/12/19,2019,2,11470 W COLLINS ST,LOS ANGELES ,91601,3,
2340006015,10/17/18,2018,2,5925 N LAUREL CANYON BLVD,LOS ANGELES ,91607,3,
2340006017,8/15/22,2022,2,5915 N LAUREL CANYON BLVD,LOS ANGELES ,91607,4,
2340015016,11/14/12,2012,2,5816 N WHITSETT AVE,NORTH HOLLYWOOD ,91607,4,23
2340028034,3/4/20,2020,2,5617 N AGNES AVE,LOS ANGELES ,91607,3,
2341004012,5/12/20,2020,2,12644 W OXNARD ST,LOS ANGELES ,91607,3,
2343006001,8/23/21,2021,2,5754 N WOODMAN AVE,VAN NUYS ,91401,3,
2343011018,9/11/14,2014,2,13551 W BURBANK BLVD,VAN NUYS ,91401,3,
2343015018,7/30/14,2014,2,13437 W BURBANK BLVD,VAN NUYS ,91401,6,
2345004003,7/24/17,2017,4,13135 W CHANDLER BLVD,LOS ANGELES ,91401,2,
2347007004,10/16/07,2007,2,12354 W BURBANK BLVD,NORTH HOLLYWOOD ,91607,3,
2347008021,7/26/17,2017,2,5405 N HERMITAGE AVE,LOS ANGELES ,91607,2,11
2347019010,11/13/18,2018,2,12145 W MAGNOLIA BLVD,LOS ANGELES ,91607,2,36
2347023003,2/5/20,2020,2,5246 N HERMITAGE AVE,LOS ANGELES ,91607,2,
2347024001,11/16/18,2018,2,5261 N HERMITAGE AVE,LOS ANGELES ,91607,3,
2347025005,10/16/15,2015,2,5327 N HERMITAGE AVE,NORTH HOLLYWOOD ,91607,7,0
2347025010,8/18/15,2015,2,5305 N HERMITAGE AVE,VALLEY VILLAGE ,91607,4,
2347025012,10/16/15,2015,2,5333 N HERMITAGE AVE,LOS ANGELES ,91607,11,42
2347026001,1/26/18,2018,2,12301 W MAGNOLIA BLVD,NORTH HOLLYWOOD ,91607,12,
2347026007,2/26/18,2018,2,12300 W WEDDINGTON ST,NORTH HOLLYWOOD ,91607,2,
2348010026,11/6/19,2019,2,11829 W CHANDLER BLVD,LOS ANGELES ,91607,4,
2350003006,12/18/14,2014,2,5525 N CASE AVE,LOS ANGELES ,91601,4,
2350003008,11/4/14,2014,2,5513 N CASE AVE,Los Angeles ,91601,2,
2350003018,11/4/14,2014,2,5536 N FULCHER AVE,Los Angeles ,91601,5,
2350004032,4/10/19,2019,2,11419 W KILLION ST,NORTH HOLLYWOOD ,91601,6,
2350005005,5/20/15,2015,2,5555 N BONNER AVE,NORTH HOLLYWOOD ,91601,4,
2350005014,5/4/16,2016,2,5507 N BONNER AVE,LOS ANGELES ,91601,2,0
