Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
"060371042012","Block Group 2, Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","150","00","0015978",,,,,"06","037",,,"104201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042012","Block Group 2",,,,86625
"060371042013","Block Group 3, Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","150","00","0015979",,,,,"06","037",,,"104201","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042013","Block Group 3",,,,87946
"060371042031","Block Group 1, Census Tract 1042.03, Los Angeles County, California","ACSSF","ca","150","00","0015980",,,,,"06","037",,,"104203","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042031","Block Group 1",,,,55417
"060371042032","Block Group 2, Census Tract 1042.03, Los Angeles County, California","ACSSF","ca","150","00","0015981",,,,,"06","037",,,"104203","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042032","Block Group 2",,,,57974
"060371042041","Block Group 1, Census Tract 1042.04, Los Angeles County, California","ACSSF","ca","150","00","0015982",,,,,"06","037",,,"104204","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042041","Block Group 1",,,,38750
"060371042042","Block Group 2, Census Tract 1042.04, Los Angeles County, California","ACSSF","ca","150","00","0015983",,,,,"06","037",,,"104204","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042042","Block Group 2",,,,85673
"060371043101","Block Group 1, Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","150","00","0015984",,,,,"06","037",,,"104310","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043101","Block Group 1",,,,97984
"060371043102","Block Group 2, Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","150","00","0015985",,,,,"06","037",,,"104310","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043102","Block Group 2",,,,58641
"060371043103","Block Group 3, Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","150","00","0015986",,,,,"06","037",,,"104310","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043103","Block Group 3",,,,86563
"060371043211","Block Group 1, Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","150","00","0015987",,,,,"06","037",,,"104321","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043211","Block Group 1",,,,38221
"060371043212","Block Group 2, Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","150","00","0015988",,,,,"06","037",,,"104321","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043212","Block Group 2",,,,
"060371043213","Block Group 3, Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","150","00","0015989",,,,,"06","037",,,"104321","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043213","Block Group 3",,,,
"060371043221","Block Group 1, Census Tract 1043.22, Los Angeles County, California","ACSSF","ca","150","00","0015990",,,,,"06","037",,,"104322","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043221","Block Group 1",,,,44960
"060371043222","Block Group 2, Census Tract 1043.22, Los Angeles County, California","ACSSF","ca","150","00","0015991",,,,,"06","037",,,"104322","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371043222","Block Group 2",,,,
"060371044011","Block Group 1, Census Tract 1044.01, Los Angeles County, California","ACSSF","ca","150","00","0015992",,,,,"06","037",,,"104401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044011","Block Group 1",,,,67813
"060371044012","Block Group 2, Census Tract 1044.01, Los Angeles County, California","ACSSF","ca","150","00","0015993",,,,,"06","037",,,"104401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044012","Block Group 2",,,,66354
"060371044031","Block Group 1, Census Tract 1044.03, Los Angeles County, California","ACSSF","ca","150","00","0015994",,,,,"06","037",,,"104403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044031","Block Group 1",,,,86648
