Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060371919022","15000US060371919022","Block Group 2, Census Tract 1919.02, Los Angeles County, California","Block Group 2, Census Tract 1919.02, Los Angeles County, California","ca","150","00","ACSSF","0015371",,,,,"06","037",,,,"191902","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,278,309
"060371920011","15000US060371920011","Block Group 1, Census Tract 1920.01, Los Angeles County, California","Block Group 1, Census Tract 1920.01, Los Angeles County, California","ca","150","00","ACSSF","0015372",,,,,"06","037",,,,"192001","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,61,624
"060371920012","15000US060371920012","Block Group 2, Census Tract 1920.01, Los Angeles County, California","Block Group 2, Census Tract 1920.01, Los Angeles County, California","ca","150","00","ACSSF","0015373",,,,,"06","037",,,,"192001","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,179,405
"060371920021","15000US060371920021","Block Group 1, Census Tract 1920.02, Los Angeles County, California","Block Group 1, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015374",,,,,"06","037",,,,"192002","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,55,287
"060371920022","15000US060371920022","Block Group 2, Census Tract 1920.02, Los Angeles County, California","Block Group 2, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015375",,,,,"06","037",,,,"192002","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,243,174
"060371920023","15000US060371920023","Block Group 3, Census Tract 1920.02, Los Angeles County, California","Block Group 3, Census Tract 1920.02, Los Angeles County, California","ca","150","00","ACSSF","0015376",,,,,"06","037",,,,"192002","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,274,278
"060371923001","15000US060371923001","Block Group 1, Census Tract 1923, Los Angeles County, California","Block Group 1, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015377",,,,,"06","037",,,,"192300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,128,91
"060371923002","15000US060371923002","Block Group 2, Census Tract 1923, Los Angeles County, California","Block Group 2, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015378",,,,,"06","037",,,,"192300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,176,242
"060371923003","15000US060371923003","Block Group 3, Census Tract 1923, Los Angeles County, California","Block Group 3, Census Tract 1923, Los Angeles County, California","ca","150","00","ACSSF","0015379",,,,,"06","037",,,,"192300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,207,634
"060371924101","15000US060371924101","Block Group 1, Census Tract 1924.10, Los Angeles County, California","Block Group 1, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015380",,,,,"06","037",,,,"192410","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,142,307
